Sample Name,Month,Site ID,Group,23 -> 23  Na  [ He ] ,Conc. RSD,Na RSD,25 -> 25  Mg  [ H2 ] ,Conc. RSD,Mg RSD,27 -> 27  Al  [ No Gas ] ,Conc. RSD,Al RSD,28 -> 44  Si  [ O2 ] ,Conc. RSD,Si RSD,31 -> 47  P  [ O2 ] ,Conc. RSD,P RSD,32 -> 48  S  [ O2 ],Conc. RSD,S RSD,39 -> 39  K  [ H2 ] ,Conc. RSD,K RSD,43 -> 43  Ca  [ No Gas ] ,Conc. RSD,Ca RSD,53 -> 53  Cr  [ No Gas ],Conc. RSD,Cr RSD,55 -> 55  Mn  [ H2 ],Conc. RSD,Mn RSD,66 -> 66  Zn  [ No Gas ] ,Conc. RSD,Zn RSD,86 -> 86  Sr  [ No Gas ] ,Conc. RSD,Sr RSD,138 -> 138  Ba  [ No Gas ] ,Conc. RSD,Ba RSD,56 -> 56  Fe  [ H2 ],Conc. RSD,Fe RSD
GR3-11,Aug.23,GR3,Drip,1.11,1.33,0.01,0.35,2.19,0.01,0,1.19,0,3.48,1.06,0.04,0.2,1.41,0,1.59,0.78,0.01,0.12,0.72,0,41.31,0.94,0.39,0,3.42,0,0,1.75,0,0.02,1.17,0,0.02,2.59,0,0.01,1.14,0,0.000302774,7.546540587,0.004012087
GR4-11,Aug.23,GR4,Drip,5.05,0.24,0.01,0.62,1.21,0.01,0.01,1.64,0,1.3,1.96,0.03,37.56,0.84,0.32,1.28,0.54,0.01,0.44,0.67,0,30.38,1.35,0.41,0,5.17,0,0,0.45,0,0.01,1.46,0,0.02,0.44,0,0.01,0.8,0,0.001625318,1.733784457,0.093743972
GR5-11,Aug.23,GR5,Drip,14.87,0.73,0.11,0.44,1.8,0.01,0,1.99,0,1.56,1,0.02,1.62,0.9,0.01,1.3,0.66,0.01,0.43,1.27,0.01,71.59,1.88,1.35,0,6.81,0,0,2.76,0,0.01,1.97,0,0.02,0.32,0,0.01,0.94,0,0.000450324,5.741999892,0.007842637
GR6-11,Aug.23,GR6,Drip,0.73,0.94,0.01,0.22,2.82,0.01,0,1.73,0,1.98,2.76,0.05,0.03,2.38,0,1.55,1.02,0.02,0.11,0.65,0,34.45,0.46,0.16,0,9.75,0,0,4.12,0,0,3.99,0,0.01,0.88,0,0.01,1.18,0,<0.000,N/A,#VALUE!
RW-11,Aug.23,RW,River,1.38,1.17,0.02,0.9,1.49,0.01,0,0.86,0,1.56,2.4,0.04,0.05,3.26,0,0.88,0.49,0,0.9,0.76,0.01,30.65,1.9,0.58,0,91.41,0,0,1.28,0,0.01,3,0,0.02,0.93,0,0,1.23,0,0.00010051,5.365325502,0.001873333
GF1-12,Oct.23,GF1,Drip,1.98,0.85,0.02,1.64,0.77,0.01,0,9.23,0,4.95,1.63,0.08,0,14.72,0,2.1,1.85,0.04,0.47,0.16,0,61.36,0.68,0.41,0,15.15,0,0,5.71,0,0.01,3.54,0,0.08,1.29,0,0.01,0.42,0,6.81E-05,28.30492177,0.000240515
GF2-12,Oct.23,GF2,Drip,2.95,0.56,0.02,2.62,1.29,0.03,0,4.18,0,4.35,3.21,0.14,0,27.83,0,3.05,1.98,0.06,0.97,1.16,0.01,75.5,0.96,0.72,0,27.21,0,0,4.92,0,0.01,1.5,0,0.09,1.08,0,0.01,0.79,0,<0.000,N/A,#VALUE!
GR2-12,Oct.23,GR2,Drip,2.58,1.1,0.03,0.96,0.9,0.01,0,6.32,0,5.5,1.9,0.1,0,4.96,0,3.64,0.75,0.03,0.34,1.61,0.01,57.31,0.34,0.19,0,8.49,0,0,12.53,0,0.01,4.37,0,0.03,0.28,0,0.01,0.81,0,<0.000,N/A,#VALUE!
GR3-12,Oct.23,GR3,Drip,10.31,0.98,0.1,1.34,0.88,0.01,0,4.12,0,3.7,3.58,0.13,0,9.56,0,3.83,0.64,0.02,0.42,1.74,0.01,44.58,1.53,0.68,0,4.68,0,0,1.99,0,0,3.31,0,0.03,0.9,0,0.01,0.61,0,<0.000,N/A,#VALUE!
GR4-12,Oct.23,GR4,Drip,2.66,0.16,0,0.43,0.62,0,0.02,0.68,0,0.92,2.74,0.03,0,44.88,0,0.97,0.83,0.01,0.21,1.07,0,25.2,3.08,0.78,0,36.8,0,0,23.59,0,0,1.21,0,0.02,1.09,0,0,1.13,0,<0.000,N/A,#VALUE!
GR5-12,Oct.23,GR5,Drip,15.31,0.46,0.07,0.54,2.1,0.01,0.01,0.94,0,1.76,1.9,0.03,0,11.77,0,1.62,0.12,0,0.38,1.22,0,83.24,0.28,0.23,0,14.74,0,0,9.44,0,0,3.41,0,0.02,1.46,0,0.01,0.37,0,<0.000,N/A,#VALUE!
GR6-12,Oct.23,GR6,Drip,0.67,1.56,0.01,0.23,2.26,0.01,0,1.41,0,1.29,2.89,0.04,0,5.25,0,1.56,0.84,0.01,0.07,2.41,0,27.55,0.99,0.27,0,17.04,0,0,1.86,0,0.01,1.99,0,0.01,2.07,0,0,0.66,0,<0.000,N/A,#VALUE!
RW-12,Oct.23,RW,River,1.93,0.35,0.01,1.31,0.92,0.01,0,3.3,0,1.59,2.27,0.04,0,5.14,0,1.05,0.26,0,1.18,0.72,0.01,29.57,0.21,0.06,0,32.56,0,0,13.44,0,0.01,3.07,0,0.02,2.58,0,0,1.2,0,<0.000,N/A,#VALUE!
GF1-13,Jan.24,GF1,Drip,1.13,1.39,0.02,1.03,1.63,0.02,0,2.26,0,1.21,2.8,0.03,0,3.63,0,1.27,0.3,0,0.31,0.27,0,53.85,1.64,0.88,0,46.48,0,0,7.79,0,0,1.76,0,0.04,1.27,0,0,2.57,0,<0.000,N/A,#VALUE!
GF2-13,Jan.24,GF2,Drip,2.08,1.24,0.03,1.45,1.33,0.02,0,1.16,0,1.98,3.41,0.07,0.04,0.32,0,2,1.63,0.03,0.63,1.43,0.01,71.06,1.54,1.1,0,82.76,0,0,6.13,0,0.01,2.88,0,0.05,2.11,0,0.01,1.17,0,8.68E-05,17.24102204,0.000503221
GF3-13,Jan.24,GF3,Drip,1.41,0.11,0,1.12,1.05,0.01,0,0.41,0,1.97,2.97,0.06,0,24.76,0,1.89,0.43,0.01,0.4,0.68,0,58.26,0.47,0.27,0,65.06,0,0,1.09,0,0,0.6,0,0.05,1.38,0,0.01,1.72,0,<0.000,N/A,#VALUE!
GR1-13,Jan.24,GR1,Drip,0.92,0.85,0.01,0.9,1.62,0.01,0,1.41,0,5.16,2.36,0.12,0.01,5.38,0,0.74,1.55,0.01,0.08,1.01,0,37.3,1.4,0.52,0,7.42,0,0,4.29,0,0.01,3.21,0,0.04,1.17,0,0.01,1.02,0,<0.000,N/A,#VALUE!
GR2-13,Jan.24,GR2,Drip,1.61,0.53,0.01,0.61,2.88,0.02,0.01,0.94,0,2.52,2.59,0.07,0.02,1.8,0,2.36,1.48,0.03,0.2,1.3,0,47.16,0.76,0.36,0,8.89,0,0,9.8,0,0.01,0.95,0,0.02,1.44,0,0.01,0.27,0,<0.000,N/A,#VALUE!
GR3-13,Jan.24,GR3,Drip,10.21,0.9,0.09,1.1,2.84,0.03,0.06,0.53,0,3.91,3.51,0.14,0,12.28,0,3.81,0.66,0.03,0.4,1.51,0.01,57.56,0.36,0.21,0,16.85,0,0,3.03,0,0.01,1.3,0,0.03,0.71,0,0.01,0.57,0,<0.000,N/A,#VALUE!
GR4-13,Jan.24,GR4,Drip,5.88,1.22,0.07,0.57,1.46,0.01,0,1.05,0,2.11,3.32,0.07,0.52,1.57,0.01,2.02,2.07,0.04,0.25,0.75,0,39.3,0.51,0.2,0,11.89,0,0,4.15,0,0.01,2.01,0,0.03,0.63,0,0.01,0.6,0,0.000296255,7.507241989,0.003946257
GR5-13,Jan.24,GR5,Drip,14.07,0.65,0.09,0.39,0.61,0,0,0.65,0,1.99,2.57,0.05,0.03,4.21,0,1.89,0.93,0.02,0.35,0.49,0,75,0.95,0.71,0,21.31,0,0,4.91,0,0.01,0.85,0,0.02,2.3,0,0.02,1.13,0,<0.000,N/A,#VALUE!
GR6-13,Jan.24,GR6,Drip,1.51,0.42,0.01,0.5,1.13,0.01,0,3.06,0,2.71,3.27,0.09,0,10.67,0,3.1,0.65,0.02,0.19,1.72,0,54.48,0.09,0.05,0,5.48,0,0,0.45,0,0,2.81,0,0.03,0.7,0,0.01,1.64,0,<0.000,N/A,#VALUE!
RW-13,Jan.24,RW,River,2.71,0.71,0.02,1.17,2.07,0.02,0,1.66,0,1.41,2.71,0.04,0.02,6.29,0,2.17,1.07,0.02,1.47,0.84,0.01,44.4,0.42,0.19,0,56.58,0,0,3.96,0,0.01,1.11,0,0.03,0.25,0,0,1.32,0,0.000174665,1.69039116,0.010332842
