Sample Name,Site ID,Month,Corrected TOC mg/L,Stdev,Group,,
SW-o2-DOM-9,SW-02,Apr.23,2.54,0,Soil,,
DW-GF1-DOC-10,GF1,Jun.23,,0.19,Drip_GF,16.42,"outlier, not considered"
DW-GF2-DOC-10,GF2,Jun.23,1.13,0.03,Drip_GF,,
DW-GF3-DOC-10,GF3,Jun.23,1.92,0.02,Drip_GF,,
DW-GR1-DOC-10,GR1,Jun.23,1.65,0.36,Drip_GR,,
DW-GR2-DOC-10,GR2,Jun.23,0.63,0.02,Drip_GR,,
DW-GR4-DOC-10,GR4,Jun.23,0.63,0.02,Drip_GR,,
DW-GR5-DOC-10,GR5,Jun.23,0.68,0.04,Drip_GR,,
DW-GR6-DOC-10,GR6,Jun.23,0.62,0.04,Drip_GR,,
RW-Weir-DOC-10,RW,Jun.23,0.86,0,River,,
SW-o6-DOC-10,SW-06,Jun.23,3.28,0.04,Soil,,
DW-GR1-DOC-11,GR1,Aug.23,0.9,0.12,Drip_GR,,
DW-GR2-DOC-11,GR2,Aug.23,0.25,0.01,Drip_GR,,
DW-GR3-DOC-11,GR3,Aug.23,0.61,0.07,Drip_GR,,
DW-GR4-DOC-11,GR4,Aug.23,1.21,0.76,Drip_GR,,
DW-GR5-DOC-11,GR5,Aug.23,0.46,0.02,Drip_GR,,
DW-GR6-DOC-11,GR6,Aug.23,0.56,0.02,Drip_GR,,
DW-GF1-DOC-11,GF1,Aug.23,0.56,0,Drip_GF,,
DW-GF2-DOC-11,GF2,Aug.23,0.51,0.05,Drip_GF,,
RW-Weir-DOC-11,RW,Aug.23,0.57,0,River,,
RW-Weir-DOM-12,RW,Oct.23,0.47,0.05,River,,
DW-GR1-DOM-12,GR1,Oct.23,0.43,0.01,Drip_GR,,
DW-GR2-DOM-12,GR2,Oct.23,0.15,0,Drip_GR,,
DW-GR4-DOM-12,GR4,Oct.23,0.34,0.05,Drip_GR,,
DW-GR5-DOM-12,GR5,Oct.23,1.39,0.01,Drip_GR,,
DW-GR6-DOM-12,GR6,Oct.23,-0.01,0.04,Drip_GR,,
DW-GF1-DOM-12,GF1,Oct.23,0.35,0,Drip_GF,,
DW-GF2-DOM-12,GF2,Oct.23,1.39,0.01,Drip_GF,,
DW-GR1-DOM-13,GR1,Jan.24,-0.12,0.05,Drip_GR,,
DW-GR2-DOM-13,GR2,Jan.24,-0.14,0.01,Drip_GR,,
DW-GR3-DOM-13,GR3,Jan.24,0.35,0.02,Drip_GR,,
DW-GR4-DOM-13,GR4,Jan.24,1.3,0,Drip_GR,,
DW-GR5-DOM-13,GR5,Jan.24,-0.13,0.01,Drip_GR,,
DW-GR6-DOM-13,GR6,Jan.24,0.28,0.02,Drip_GR,,
RW-WEIR-DOM-13,RW,Jan.24,1.27,0.04,River,,
DW-GF1-DOM-13,GF1,Jan.24,0.34,0,Drip_GF,,
DW-GF2-DOM-13,GF2,Jan.24,0.6,0,Drip_GF,,
DW-GF3-DOM-13,GF3,Jan.24,1.69,0.02,Drip_GF,,
